route_id,aadt,year_recorded,slat,slon,elat,elon
95-S-244,500,2023,-72.18748176,41.37459432,-72.18908142,41.37573089
95-S-248,5500,2023,-72.15258487,41.36811204,-72.15376571,41.36864518
95-S-270A,3500,2023,-71.98086711,41.37313737,-71.97987071,41.37316536
95-S-274A,5300,2023,-71.95806779,41.37673629,-71.95705614,41.37701094
95-S-276,2900,2023,-71.95369846,41.3751024,-71.95765503,41.3773888
95-S-278,5400,2023,-71.90441445,41.38075957,-71.90354842,41.37970782
95-S-285,1500,2023,-71.80029581,41.44092937,-71.80277401,41.43884497
95-S-300,3800,2023,-73.41882405,41.10739271,-73.41824607,41.10663112
95-S-305,2800,2023,-73.18914201,41.17361636,-73.19122724,41.17352999
95-S-321,3500,2023,-72.13466166,41.37116506,-72.13685428,41.37014978
95-S-323,3500,2023,-72.75506967,41.29676484,-72.75811275,41.29776685
95-S-343,8500,2023,-73.53111415,41.05202935,-73.5342941,41.05066172
95-S-355,6300,2023,-73.16918235,41.17585824,-73.1728048,41.17904988
7-N,29100,2023,-73.4189316,41.50541499,-73.42333217,41.53424936
7-N,14700,2023,-73.45064194,41.5927375,-73.45697486,41.59494071
7-N,4200,2023,-73.48398261,41.64645737,-73.48392384,41.64811869
95-S-45,3900,2023,-73.45867885,41.08844582,-73.45883036,41.08758614
95-S-49,5500,2023,-73.43359594,41.10351242,-73.43450003,41.10198059
95-S-53,2000,2023,-73.40618569,41.1090766,-73.40655127,41.10906967
95-S-6,4600,2023,-73.62716352,41.01998583,-73.62859943,41.01948806
95-S-67,6200,2023,-73.2835603,41.14155445,-73.28717024,41.13998653
95-S-76,4600,2023,-73.24551742,41.15539254,-73.24581923,41.1537603
95-S-817,19200,2023,-72.09988015,41.36430107,-72.10386463,41.36691558
97-N,7500,2023,-72.04801328,41.56997122,-72.0457881,41.58014786
7-N-601,10000,2023,-73.43074205,41.141191,-73.43104893,41.14243754
7-S,30300,2023,-73.41917425,41.11493201,-73.42066022,41.11915601
7-S,23800,2023,-73.42871486,41.13187464,-73.42999111,41.13701198
91-N-16,16600,2023,-72.88432004,41.32291578,-72.88215897,41.32339917
7-S-8,6600,2023,-73.42783973,41.12633194,-73.42693567,41.12584977
7-S-8A,6600,2023,-73.4272826,41.12632334,-73.42693567,41.12584977
72-N,4200,2023,-73.00081913,41.67908277,-73.000243,41.68697797
72-N,3500,2023,-73.00043886,41.68864496,-73.00130649,41.68937497
724-W,23900,2023,-72.91819137,41.30060017,-72.91721233,41.30044103
73-E,20100,2023,-73.07116844,41.57880045,-73.06751017,41.57455173
73-E,21100,2023,-73.06480966,41.57367156,-73.06267365,41.57293889
100013,1900,2023,-73.21100241,41.61477949,-73.21092872,41.60822901
74-E,4500,2023,-72.48075637,41.86492018,-72.47906098,41.86386375
74-E,7500,2023,-72.44952347,41.86698455,-72.44469197,41.86791422
74-E,2900,2023,-72.42149912,41.86783022,-72.40714619,41.87115988
